Nome: PINDAMONHANGABA
Codigo Estacao: 83707
Latitude: -22.92
Longitude: -45.5
Altitude: 560
Situacao: Desativada
Data Inicial: 1960-01-01
Data Final: 1991-04-30
Periodicidade da Medicao: Diaria

Data Medicao;EVAPORACAO DO PICHE, DIARIA(mm);INSOLACAO TOTAL, DIARIO(h);PRECIPITACAO TOTAL, DIARIO(mm);TEMPERATURA MAXIMA, DIARIA(°C);TEMPERATURA MINIMA, DIARIA(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA(%);VENTO, VELOCIDADE MEDIA DIARIA(m/s);
1965-08-30;3,4;7,9;0;32,6;12,3;65,25;1,333333;null;
1965-08-31;4;7,1;0;27,8;12,2;74,25;1,333333;null;
1965-09-01;3,3;9,6;0;32;15,6;63,75;1,333333;null;
1965-09-02;3,9;9,8;0;36,8;13,2;57;0;null;
1965-09-03;3,8;9,3;0;35,4;13,8;61,5;,666667;null;
1965-09-04;5,3;10,2;0;37,2;12,8;57,75;,666667;null;
1965-09-05;5,5;8,3;0;38,5;13,4;65,25;,666667;null;
1965-09-06;4,4;8,3;0;31,2;15,7;70,5;1,333333;null;
1965-09-07;3,6;5,7;0;28,2;18,2;75;0;null;
1965-09-08;3;9;0;31,8;17,9;62,25;1,333333;null;
1965-09-09;4,9;9,7;0;34,8;12,5;54;,666667;null;
1965-09-10;5,6;9,6;0;34,5;13,3;38,75;1;null;
1965-09-11;8,7;5,9;0;32,6;15,8;59;0;null;
1965-09-12;4,7;0;0;22,7;15,8;82,75;0;null;
1965-09-13;1,6;0;0;21,6;16;82,25;1,333333;null;
1965-09-14;1,9;9,5;0;30;15,8;54,5;2,333333;null;
1965-09-15;5,9;9,6;0;32,1;10,9;63,5;,666667;null;
1965-09-16;6;6,9;0;29,9;16,5;69,5;1,333333;null;
1965-09-17;1,8;7,4;0;32,6;16,7;59,75;2;null;
1965-09-18;4,5;9,8;0;36,6;16;52,5;,666667;null;
1965-09-19;5,2;9,4;0;35;14;54,75;,666667;null;
1965-09-20;6;6;0;27;16,8;68;2;null;
1965-09-21;4;0;0;23,8;13,8;83,75;1,333333;null;
1965-09-22;1,5;6,8;,4;25,6;13,7;72,5;2;null;
1965-09-23;4,6;9,8;0;30,5;16;58,25;2;null;
1965-09-24;5,4;5,7;0;32;15;62;1,333333;null;
1965-09-25;4,1;8,4;0;33,4;14,5;57;,666667;null;
1965-09-26;4,8;0;15,7;23,2;13,8;94;0;null;
1965-09-27;,4;0;30;19,6;16,6;93,75;,666667;null;
1965-09-28;,3;2,7;24,4;24,6;15,6;81,25;,666667;null;
1965-09-29;2;10,7;0;31,6;14;70,75;,666667;null;
1965-09-30;3;2,9;0;33,4;16,6;76,5;,666667;null;
1965-10-01;3;0;16,8;21,2;17,3;97,25;,666667;null;
1965-10-02;,5;0;21,8;18,6;12,4;79,25;1,333333;null;
1965-10-03;1,5;,2;0;19,4;12,4;73,75;1;null;
1965-10-04;2,1;11,2;0;28,5;13,4;75;,666667;null;
1965-10-05;3,1;10,9;0;31,8;14,6;62,5;1,333333;null;
1965-10-06;4,3;10,4;0;32,2;12,7;65,25;1;null;
1965-10-07;3,7;7,5;0;33;15,2;68,5;1,333333;null;
1965-10-08;4,3;3,1;0;32,5;18,3;88,25;1,333333;null;
1965-10-09;2,9;0;4,1;24,6;19,4;81,75;,666667;null;
1965-10-10;1,1;4,9;2;32,2;19,4;87;1,333333;null;
1965-10-11;1,9;0;16,5;20,6;14,3;95,75;,666667;null;
1965-10-12;,9;0;9,6;23,9;12,5;70;,666667;null;
1965-10-13;2,3;8,5;0;28,2;13,4;62,25;2,333333;null;
1965-10-14;3,6;1,7;0;24,6;13,6;92,5;,666667;null;
1965-10-15;,9;8,4;7,9;29,3;13,7;71;,666667;null;
1965-10-16;2,9;6,4;0;28,6;15,9;72,25;,666667;null;
1965-10-17;2,6;2,5;0;30,2;16,5;73;1,666667;null;
1965-10-18;3;7,4;0;32;17;73,5;2,333333;null;
1965-10-19;2,7;7,9;2,6;32,4;16,6;68,5;1,333333;null;
1965-10-20;2,7;7,3;0;34,2;15,6;70,75;1,333333;null;
1965-10-21;3,7;7,3;0;33,1;17,6;70,5;1,333333;null;
1965-10-22;3,3;7;0;34,6;19,3;72,75;,666667;null;
1965-10-23;3,2;8,1;2,2;34,1;19,6;66,5;2;null;
1965-10-24;3,3;10,4;0;35,8;19;65,25;1;null;
1965-10-25;3,9;3,1;2,9;32,4;18,1;87,5;0;null;
1965-10-26;1,8;,6;54,4;25,2;17;83;,666667;null;
1965-10-27;1,6;10,5;,9;29,5;16,2;74,75;1,666667;null;
1965-10-28;2,9;7;0;34,8;17,7;67,75;3;null;
1965-10-29;3,7;0;6;24,8;19,2;91,5;1,333333;null;
1965-10-30;1,1;2,6;12;26,7;15,4;70,25;2;null;
1965-10-31;2,4;3,9;0;23,8;12,6;82,5;2,333333;null;
1965-11-01;1,4;5,9;3,5;24;9,5;80,5;1,333333;null;
1965-11-02;2;10;,5;27,5;10,2;78,75;,666667;null;
1965-11-03;3,1;10,5;0;32,7;13,4;60,5;1,333333;null;
1965-11-04;4,5;9,9;0;33,4;18;65;1,333333;null;
1965-11-05;4,4;4,7;0;29,6;17;74;1,333333;null;
1965-11-06;3,7;,7;0;28,6;19,2;81,25;,666667;null;
1965-11-07;1,8;7;0;32;15,8;65,75;0;null;
1965-11-08;3,4;5,7;0;32,8;17;73,25;1,333333;null;
1965-11-09;3,3;2,7;,2;30,8;19,4;76,25;0;null;
1965-11-10;2,6;5,7;3;32,6;18,6;69,25;1,333333;null;
1965-11-11;3;9,9;0;34,9;18,9;70,75;,666667;null;
1965-11-12;3,5;4;,2;31,4;19,6;80,25;1,666667;null;
1965-11-13;2,5;5;3,5;31,7;20,4;82,25;,666667;null;
1965-11-14;2,1;0;1,4;31,2;20,6;85,5;,666667;null;
1965-11-15;1,7;5,4;1,5;33,2;20;87,75;0;null;
1965-11-16;1,9;2,8;22;29,2;19,1;84,25;0;null;
1965-11-17;1,5;4,3;2,5;29,6;18,4;72,75;1,333333;null;
1965-11-18;2,8;6,8;0;30,2;15;68,5;0;null;
1965-11-19;3,2;10,6;0;33,4;18,2;64,75;1;null;
1965-11-20;3,7;7,5;0;30,3;13;72,75;,666667;null;
1965-11-21;3,1;0;0;25,4;17,8;75,25;,666667;null;
1965-11-22;2,2;9,4;0;31;14,6;71,75;1,333333;null;
1965-11-23;3,7;9,5;,2;31,4;15;65,75;1,333333;null;
1965-11-24;4,1;12,1;0;31,8;16,7;65;1,333333;null;
1965-11-25;4,8;9,6;0;34,6;16,2;67,75;,666667;null;
1965-11-26;4,2;4,4;2,3;31,4;19,7;80;2,333333;null;
1965-11-27;2,9;3,1;17,1;31;18,6;81,75;0;null;
1965-11-28;1,6;3,9;10,9;30,2;18,9;81,75;0;null;
1965-11-29;2,4;3,7;,6;30,4;18,4;88;0;null;
1965-11-30;1,6;1;1,5;26;17,6;88,75;0;null;
1965-12-01;,8;7,8;2;33,4;17,6;84;1,333333;null;
1965-12-02;2,6;7,7;2,3;34,2;18,1;80,75;1;null;
1965-12-03;2,5;5;4,4;32,8;19,3;82;0;null;
1965-12-04;2,1;3,4;2,4;32,2;19,3;88,25;1,333333;null;
1965-12-05;2,1;1,5;1;30,3;20;78,75;0;null;
1965-12-06;2;5,7;,2;33,8;18,6;76,25;1,333333;null;
1965-12-07;2,6;,9;6,5;29,2;20,1;84,25;0;null;
1965-12-08;1,7;0;5;24,8;20,4;92,25;0;null;
1965-12-09;,7;2;4,7;31,6;20,8;87,5;,666667;null;
1965-12-10;1,4;0;40;26,9;20,2;87,25;,666667;null;
1965-12-11;,9;,9;7,8;31;20;81,25;0;null;
1965-12-12;1,7;2;,1;30,7;20;80,75;1,333333;null;
1965-12-13;2,2;,2;1;28,8;20,9;87,75;0;null;
1965-12-14;,9;6;7,5;35;19,4;69,25;0;null;
1965-12-15;4;,9;0;31,2;18,7;85;,666667;null;
1965-12-16;2;,6;5,9;27,4;19;84;1,333333;null;
1965-12-17;1,9;1,9;,2;33,4;19,2;68,25;,666667;null;
1965-12-18;3,3;10,6;0;35,4;19,8;72,5;,666667;null;
1965-12-19;3,5;9,4;5,8;37,1;18,3;67;0;null;
1965-12-20;3,4;9,4;0;37,2;19,2;63,75;2,666667;null;
1965-12-21;3,9;9,2;0;36,2;19,2;63,75;,666667;null;
1965-12-22;4,1;0;4;25;18,3;90;,666667;null;
1965-12-23;1,1;1,6;7,3;26,2;17;89;1,333333;null;
1965-12-24;1,8;6,9;0;30,6;19,4;82;2,333333;null;
1965-12-25;2,6;6,6;2,5;34,7;18,2;67,5;0;null;
1965-12-26;3,5;4,9;,8;35,2;20,2;71,5;,666667;null;
1965-12-27;3,2;4,7;0;33,6;19,3;83,25;1;null;
1965-12-28;2,1;7,9;9,8;33;16,1;81,25;,666667;null;
1965-12-29;1,9;3,3;25;29,6;18;93,75;,666667;null;
1965-12-30;1,4;1;11;29,4;17,8;89;,666667;null;
1965-12-31;1,3;,6;4,7;30,2;18,9;89;0;null;
1966-01-01;1,1;1,2;6,8;28,3;18,9;93;0;null;
1966-01-02;,8;5,1;17,7;31;18;78,25;,666667;null;
1966-01-03;2,1;6,9;3,2;31,5;18,4;80;1;null;
1966-01-04;2,3;6,3;0;31,6;18,7;79,25;0;null;
1966-01-05;2,3;7,5;3,7;33,1;19,8;84,25;1;null;
1966-01-06;2;8,8;,1;33,5;19,6;76,75;0;null;
1966-01-07;3;5,9;,1;33,6;21,4;80,5;,666667;null;
1966-01-08;2,6;,2;45,2;28,6;20,8;85;0;null;
1966-01-09;1,3;6,5;0;33;21,8;83,25;0;null;
1966-01-10;1,8;,6;19,5;30,4;20;90;,666667;null;
1966-01-11;1,3;0;5,5;22,8;18,6;88,25;0;null;
1966-01-12;1;0;,2;20,4;17,8;96;0;null;
1966-01-13;,2;0;45,2;21,2;16,2;97,25;0;null;
1966-01-14;,5;4,3;11,5;30,3;17,6;85;0;null;
1966-01-15;1,4;9,7;6,3;33;19,2;80,75;1,333333;null;
1966-01-16;2,6;6,9;,3;31,7;17,8;86,5;,666667;null;
1966-01-17;2;1,6;4,1;29,4;18,5;83,25;0;null;
1966-01-18;1,7;6,1;0;34,2;20;77,25;,666667;null;
1966-01-19;2,3;9,8;,4;36,7;19;68,5;0;null;
1966-01-20;4;11,2;0;35,6;18;61;,666667;null;
1966-01-21;5,5;11,7;0;37,7;18,4;64;,666667;null;
1966-01-22;3,2;9,1;0;36,2;18,1;69,5;,666667;null;
1966-01-23;3,9;9,7;0;36;17,8;68,5;,666667;null;
1966-01-24;4;10,8;0;37,2;20,5;69,25;1,666667;null;
1966-01-25;3,7;10;28,5;36,4;18;70;,666667;null;
1966-01-26;4;7;0;33,1;19,2;83,25;,666667;null;
1966-01-27;2,3;,3;,5;29,2;20,2;85,25;0;null;
1966-01-28;1,8;4,9;0;33,4;19,6;76,75;1,333333;null;
1966-01-29;2,3;11,2;5,2;33,1;16,9;69,25;,666667;null;
1966-01-30;3,3;8;0;34,4;19,4;67,25;0;null;
1966-01-31;3,9;1,8;,5;30,2;21,3;78,25;,666667;null;
1966-02-01;2;1,4;17,7;28,6;20;85,5;1,666667;null;
1966-02-02;1,2;8,3;4,9;33;18,8;82;1,333333;null;
1966-02-03;1,9;10,4;1,7;33;19;71,75;1,666667;null;
1966-02-04;3,6;8,9;0;34,4;21,3;65,75;1,666667;null;
1966-02-05;3,4;3,9;0;33,8;21,1;75;,666667;null;
1966-02-06;2,9;2,9;0;30,8;19,3;66,5;,666667;null;
1966-02-07;3,6;4,6;0;32,4;21,8;53;1,666667;null;
1966-02-08;6,4;8,4;0;33,4;19,4;60,75;1,666667;null;
1966-02-09;4,6;8,4;0;35;17,7;72,25;1;null;
1966-02-10;4,4;5,2;0;34,8;18,8;63,5;1,333333;null;
1966-02-11;3,8;10,1;,6;34,9;19,6;75,75;0;null;
1966-02-12;3,9;11,4;,7;36,2;20,3;60;,666667;null;
1966-02-13;4,7;8,3;0;36,8;20,3;75,25;2;null;
1966-02-14;3,1;9,5;0;37,1;19,4;71;0;null;
1966-02-15;3,5;10,4;0;37,3;18,8;64,75;1,333333;null;
1966-02-16;4,2;9,7;0;36;16,6;65,75;0;null;
1966-02-17;4;7,7;0;35,4;18,4;76,5;,666667;null;
1966-02-18;2,5;10,5;1,5;35,8;16,3;68,25;1,666667;null;
1966-02-19;3,7;9,1;0;35,9;18,2;62,75;0;null;
1966-02-20;4,1;5,6;1,5;34,6;19,6;76,25;1;null;
1966-02-21;3;7,6;0;36,8;17,5;79,25;,666667;null;
1966-02-22;2;,8;23,7;31,2;20,4;84,75;0;null;
1966-02-23;2,5;2,7;0;33,2;20;82,75;0;null;
1966-02-24;1,7;7,9;3,3;34,8;20,1;78,25;,666667;null;
1966-02-25;2,8;1,7;2,5;31;19;83,75;,666667;null;
1966-02-26;1,5;8,5;6,1;32,2;19;71,75;,666667;null;
1966-02-27;2,8;9,6;0;33,6;17,3;74;0;null;
1966-02-28;2;8,7;0;34,8;17,4;71,25;,666667;null;
1966-03-01;4,1;6,3;0;33,4;18,3;82,5;,666667;null;
1966-03-02;2,1;5,3;12,4;35;17,7;79,25;,666667;null;
1966-03-03;1,8;9,4;29,6;34;18;79,75;2,333333;null;
1966-03-04;2,9;7,6;9,5;33,2;19,2;75,75;0;null;
1966-03-05;2,2;2,4;0;31;20,9;86;0;null;
1966-03-06;1,9;,4;6,1;27,6;16,8;94,25;,666667;null;
1966-03-07;,3;0;58,2;18,8;16;97;,666667;null;
1966-03-08;,7;0;18,5;20,6;10,4;96,25;0;null;
1966-03-09;,2;0;28,2;19,4;16,7;97,75;0;null;
1966-03-10;,2;,5;49,5;23,8;15,8;88,25;,666667;null;
1966-03-11;1,1;8,5;0;32,9;18,7;77;,666667;null;
1966-03-12;2,4;8,9;0;33,2;18;78;0;null;
1966-03-13;2,6;9,3;5,7;33,2;17;74,75;1,666667;null;
1966-03-14;2,5;7,5;8;34,6;17,4;78,25;0;null;
1966-03-15;2;8,4;0;34,6;17,5;75,75;1,333333;null;
1966-03-16;2,4;9,8;0;32,2;17,7;75;1,666667;null;
1966-03-17;3,1;10,7;0;34,4;16;71,25;1;null;
1966-03-18;3,4;10,8;0;36;15,6;68;0;null;
1966-03-19;3,1;9,4;0;34,6;16,4;68;,666667;null;
1966-03-20;3,5;10,2;0;35,5;17,3;67,5;0;null;
1966-03-21;3,7;9,1;3;35;17,6;70,75;,666667;null;
1966-03-22;3,2;10,7;0;36,3;15,1;70;,666667;null;
1966-03-23;3,7;9,2;0;38,8;15,6;61,5;0;null;
1966-03-24;4,1;8,4;0;36;16;69,75;,666667;null;
1966-03-25;3,2;8,8;null;36,4;17,5;71,5;1,333333;null;
1966-03-26;3,4;1;4,4;27,6;19;86;,666667;null;
1966-03-27;1,5;0;1,1;23,6;17,2;86;0;null;
1966-03-28;1,5;0;,9;20,4;18;95,5;0;null;
1966-03-29;,1;3,8;8,9;28,8;15,3;82,5;0;null;
1966-03-30;1,9;9,2;,2;32,8;15,2;77,5;0;null;
1966-03-31;2,5;7,3;0;33,6;16;77,25;,666667;null;
1966-04-01;2,5;3,9;null;33;18,6;86,25;,666667;null;
1966-04-02;1,6;5,1;2,5;31,5;20,2;85,5;0;null;
1966-04-03;1,8;2,6;0;30;18,6;77,5;0;null;
1966-04-04;1,8;,1;0;25,4;17,6;93,5;0;null;
1966-04-05;,7;3,9;21;25,6;16,4;82,75;,666667;null;
1966-04-06;2;0;0;22,5;17;89;1,333333;null;
1966-04-07;1;5,7;,9;33,6;17,6;75;0;null;
1966-04-08;2,5;3,9;0;25,8;16,4;89;0;null;
1966-04-09;1,4;8,2;3,8;28;16,9;75;0;null;
1966-04-10;2,4;5,2;0;27;13;79,25;1,333333;null;
1966-04-11;2;3,2;0;26,6;12,7;77,5;0;null;
1966-04-12;1,9;9,9;0;31,4;10,3;72,75;0;null;
1966-04-13;2,8;10,2;0;31,2;9,3;63;,666667;null;
1966-04-14;3,2;8,5;0;30,3;15,2;73,25;1,333333;null;
1966-04-15;3;7,7;0;34;15,5;72,25;,666667;null;
1966-04-16;2,9;4,6;0;32,8;16,4;81,75;0;null;
1966-04-17;1,7;9,7;0;36,2;17,3;73,75;0;null;
1966-04-18;2,6;9,6;0;33;15,2;78,25;,666667;null;
1966-04-19;2,4;10,4;0;34,4;12,6;70,75;,666667;null;
1966-04-20;3;9;0;31,4;14,9;72,25;,666667;null;
1966-04-21;3;9,2;0;29,6;12,2;77,75;0;null;
1966-04-22;2,7;7,1;0;32;18,4;78,5;,666667;null;
1966-04-23;2,1;9;0;36;16,1;72,75;0;null;
1966-04-24;2,5;9,5;0;32;13;75;0;null;
1966-04-25;2,7;,6;1,1;27,5;14,4;86,25;0;null;
1966-04-26;1;3,7;,4;26,6;13,2;81;0;null;
1966-04-27;1,7;8,7;0;27,6;14,4;78;,666667;null;
1966-04-28;2,3;5,2;0;32;15,8;78;0;null;
1966-04-29;1,9;7,4;0;32,6;16,4;74,75;,666667;null;
1966-04-30;2,6;6;2;31,8;18,4;82,5;,666667;null;
1966-05-01;1,7;7,7;null;32,9;19,8;73,75;0;null;
1966-05-02;2,4;9;0;32,8;20;68,75;1,333333;null;
1966-05-03;1,4;7,8;0;32,1;13,2;76,5;,666667;null;
1966-05-04;2,1;8;0;32,2;15,1;77,5;0;null;
1966-05-05;3;4,9;0;31,6;19;79,5;0;null;
1966-05-06;3;2;34;26,6;16,9;91,75;1,333333;null;
1966-05-07;,7;5,9;0;29,6;15,5;88;0;null;
1966-05-08;1,3;1,6;,3;26,1;15,6;81,25;0;null;
1966-05-09;1,5;6,5;0;29,4;14;80,25;0;null;
1966-05-10;1,9;5,8;0;28,9;16,2;79,5;1;null;
1966-05-11;2,2;6,5;0;29,4;14,4;78;0;null;
1966-05-12;2,4;,3;,6;23,7;14,8;91,75;0;null;
1966-05-13;,5;1,8;1;25,6;13,1;79,75;0;null;
1966-05-14;1,5;1,6;0;25,4;15,3;81,5;1;null;
1966-05-15;1,7;6,2;0;28;16,1;73;0;null;
1966-05-16;2;7,7;0;28,6;16,4;78,5;,666667;null;
1966-05-17;2,1;7,2;0;29,1;10,6;78,75;0;null;
1966-05-18;1,7;8;0;26,5;9;71,25;,666667;null;
1966-05-19;2,9;9,6;0;27,5;6,4;71,5;0;null;
1966-05-20;2,5;9,5;0;29,6;6,2;73,5;,666667;null;
1966-05-21;2,8;0;0;22;12,9;81,5;1;null;
1966-05-22;1,5;4,5;0;27,6;11,6;83;0;null;
1966-05-23;1,3;0;2,6;21,4;15;90;1;null;
1966-05-24;,7;,2;5,8;20,2;10,8;82,25;0;null;
1966-05-25;1,1;8,4;0;23;6,2;77;,666667;null;
1966-05-26;2,5;6,1;0;22,6;10,2;77,75;1,333333;null;
1966-05-27;2;9;0;24,6;9,4;75;1,333333;null;
1966-05-28;2,5;8,9;0;27,4;10,8;72,25;0;null;
1966-05-29;2;8,1;0;26,4;9,3;78,25;0;null;
1966-05-30;2;9,4;0;25,4;9,8;73;,666667;null;
1966-05-31;2,5;2,2;0;24,9;9,7;85,75;0;null;
1966-06-01;1;5,6;null;25;6,7;85,25;,666667;null;
1966-06-02;1,4;7;0;26,4;6;76,25;1;null;
1966-06-03;2,9;6,4;0;22,4;8,4;79,25;1,666667;null;
1966-06-04;1,8;5,2;,6;24;9,5;83;,666667;null;
1966-06-05;1,4;5,5;,3;24,6;6;85;0;null;
1966-06-06;1,4;8;0;27,4;11,6;77,75;0;null;
1966-06-07;2;7,1;0;26,7;10,7;75,25;,666667;null;
1966-06-08;1,8;7,9;0;27,6;8,8;79,25;0;null;
1966-06-09;1,9;8,7;0;26,1;12,6;75,5;0;null;
1966-06-10;2,5;8,3;0;25,6;9,3;72,75;,666667;null;
1966-06-11;2,4;4,8;0;25;6,3;78,5;0;null;
1966-06-12;2,2;9,9;0;29,4;7,4;73,25;0;null;
1966-06-13;3;9;0;28,9;6,4;73;0;null;
1966-06-14;3,2;9,3;0;31,9;6,8;71;,666667;null;
1966-06-15;3,3;8,7;0;32,6;8,1;73,5;1;null;
1966-06-16;2,9;9;0;28,8;11;76,25;,666667;null;
1966-06-17;2,9;7,5;0;32;12;74,25;,666667;null;
1966-06-18;1,8;4,4;2,6;24,6;11,2;80,75;,666667;null;
1966-06-19;1,8;4,7;0;25,3;13,3;79,25;0;null;
1966-06-20;2;8,6;0;25,2;14,2;74,5;2;null;
1966-06-21;2,6;7,9;0;27,6;9,2;76,25;,666667;null;
1966-06-22;2,2;9,1;0;27,5;8;63;1;null;
1966-06-23;3,1;8,8;0;30,8;8,8;53,75;,666667;null;
1966-06-24;4,5;5,9;0;28;11,5;75,25;,666667;null;
1966-06-25;2,9;5,7;0;26,4;13,8;82,5;0;null;
1966-06-26;2,1;7,7;0;27,4;11;78,5;0;null;
1966-06-27;2,3;9,3;0;30,8;8;73,75;,666667;null;
1966-06-28;2,2;9,7;0;31,4;7,2;72,5;,666667;null;
1966-06-29;3,1;9,6;0;30;8,4;66;0;null;
1966-06-30;3,2;,8;0;21,2;11;88,25;2;null;
1966-07-01;1,5;1,1;,8;22;12,9;78,5;,666667;null;
1966-07-02;1,5;2,2;0;24,8;13,2;79;0;null;
1966-07-03;1,8;8;0;25,6;14,8;76,75;0;null;
1966-07-04;2;8,7;0;26,5;11,8;80;0;null;
1966-07-05;2,5;8;0;26,1;10,6;82,5;,666667;null;
1966-07-06;2,8;7,8;0;27,4;8,6;84;1;null;
1966-07-07;2,2;4,1;0;24,5;10,1;80,75;1,666667;null;
1966-07-08;2,6;9,4;0;27,6;7,4;76;0;null;
1966-07-09;3,2;8,1;0;29;11,8;80,75;0;null;
1966-07-10;1,8;8,4;null;28,1;7,4;75,75;,666667;null;
1966-07-11;3,5;9,7;0;28,8;13,4;67,75;2,666667;null;
1966-07-12;3,6;9,7;0;30;9,1;76,25;1,666667;null;
1966-07-13;3,8;9,8;0;30,4;12,2;77;0;null;
1966-07-14;2,9;9,7;0;32;6,8;71,25;0;null;
1966-07-15;5,9;7,9;0;29,8;6;69,25;0;null;
1966-07-16;3,9;7,5;0;30,1;11;77,25;,666667;null;
1966-07-17;3,2;6,4;0;30,6;10,2;81,25;0;null;
1966-07-18;3;9,1;0;29;11,9;74,5;2;null;
1966-07-19;4,4;8,3;0;29,2;11,2;74,5;,666667;null;
1966-07-20;3;9,1;0;29,4;8,5;76,75;0;null;
1966-07-21;3,7;8;0;31;9,2;72,75;,666667;null;
1966-07-22;3,3;9,4;0;30,8;9,2;66,5;0;null;
1966-07-23;3,3;3,1;,7;25;14,7;80;1,666667;null;
1966-07-24;2,6;0;,2;16,8;13;88,25;0;null;
1966-07-25;,9;5;0;21,1;10,9;71,5;2,666667;null;
1966-07-26;3,1;9,7;0;27,6;12;72,75;,666667;null;
1966-07-27;3;7,9;0;23,7;9,7;77;1,666667;null;
1966-07-28;4,2;4,7;0;24,6;15;76;2;null;
1966-07-29;4;6,2;0;28,9;8,3;63,75;0;null;
1966-07-30;4,2;6,8;0;31,1;15,6;67,75;0;null;
1966-07-31;3,7;,7;3;19,8;14,5;94,75;,666667;null;
1966-08-01;,3;0;20;18;12;91,5;0;null;
1966-08-02;,5;6,3;2;23,7;11,4;84,25;2;null;
1966-08-03;2,2;7,9;0;29,4;12;76,5;1,666667;null;
1966-08-04;2,9;10,2;0;32,7;10,4;77,75;0;null;
1966-08-05;2,9;9,7;0;34,4;10,9;66;1,333333;null;
1966-08-06;4,6;5,1;0;23;11,8;73,25;2;null;
1966-08-07;3,2;4,5;0;21,8;9,4;83;,666667;null;
1966-08-08;2;8;0;27,5;13,4;71,25;1,666667;null;
1966-08-09;3;6,9;0;26,7;11;83;1,666667;null;
1966-08-10;2,6;5,2;,4;26,4;15,4;83,5;,666667;null;
1966-08-11;1,7;6,9;0;28,1;14,7;82,5;,666667;null;
1966-08-12;3,1;8;0;31,5;14,4;73,75;1;null;
1966-08-13;3,3;9,9;0;31,8;8,4;67,5;0;null;
1966-08-14;4;9,7;0;33,8;7,4;63,5;0;null;
1966-08-15;4,9;4,5;1;25,2;15,1;73,75;1;null;
1966-08-16;2,7;0;1;16,6;12,6;90,75;,666667;null;
1966-08-17;,6;0;0;19;12,1;82,5;1,666667;null;
1966-08-18;1,8;5;0;23,5;13;82,5;2;null;
1966-08-19;2,2;8,2;0;30,8;11;67;1,333333;null;
1966-08-20;3,4;9,1;0;32,2;9,6;64;0;null;
1966-08-21;3,9;6,3;0;29,1;14,3;70,5;0;null;
1966-08-22;2,4;5,6;0;29,9;13,3;74,75;,666667;null;
1966-08-23;2,9;9,2;0;28,6;16,2;61,25;2,333333;null;
1966-08-24;4,7;6;0;26,8;14,3;80,25;1,666667;null;
1966-08-25;2,6;0;13,2;15,8;11;98;0;null;
1966-08-26;,1;1,5;35,7;19,2;10;84,5;0;null;
1966-08-27;1,2;9,4;0;23;11,8;70,5;1,333333;null;
1966-08-28;3,2;10,2;0;29,5;10;59,5;,666667;null;
1966-08-29;3,6;7,2;0;30,1;7,8;63;0;null;
1966-08-30;3,1;6,7;0;28;12,9;67;,666667;null;
1966-08-31;4,1;7,3;0;32,4;16,1;58;2;null;
1966-09-01;5,1;5,5;null;32,8;14,3;76,75;,666667;null;
1966-09-02;2,7;0;2;21,4;13,6;93,25;1;null;
1966-09-03;,9;,8;12,7;22;13,6;86,75;0;null;
1966-09-04;1,2;0;0;20,4;14,2;88,5;0;null;
1966-09-05;,8;5,7;0;25,2;15;68,5;1,666667;null;
1966-09-06;3,8;8,8;0;29,6;15,2;64,5;2;null;
1966-09-07;4,8;10,1;0;32,4;11;66,25;0;null;
1966-09-08;3,9;10,1;0;33,8;11,5;64,25;1,333333;null;
1966-09-09;,3;9,6;0;31,6;12;69,75;1,333333;null;
1966-09-10;2,5;9,8;0;32,7;13,2;65,25;0;null;
1966-09-11;1,7;10;0;36,6;12,1;59;0;null;
1966-09-12;5,2;9,6;0;36,6;12;57;,666667;null;
1966-09-13;5;8,8;0;34,6;11,7;57,5;1,333333;null;
1966-09-14;5;7,5;0;33;15,8;68,75;1,333333;null;
1966-09-15;3,4;9,4;0;36,2;10,6;61;,666667;null;
1966-09-16;4,6;,7;0;26,2;14,4;81;0;null;
1966-09-17;1,5;,6;,7;18,8;11,8;72,75;0;null;
1966-09-18;1,7;6,7;0;24,2;3,5;63,5;0;null;
1966-09-19;3,2;8,9;0;25,2;6,5;59,5;2;null;
1966-09-20;4,4;0;,3;21,2;13;89,25;1;null;
1966-09-21;,9;,1;4,4;20;12,5;78,5;2,333333;null;
1966-09-22;1,9;6,7;0;22,2;7;67;1,333333;null;
1966-09-23;3,1;10,1;0;24;6,6;56,75;,666667;null;
1966-09-24;3,7;10,8;0;27;5,9;63,5;0;null;
1966-09-25;3,5;10,1;0;31,2;7,2;56,5;,666667;null;
1966-09-26;4,5;9,8;0;33,8;6,9;56,5;,666667;null;
1966-09-27;5,6;2,8;0;24,8;13,8;71,25;,666667;null;
1966-09-28;2,4;0;0;20,6;15,9;92;1,666667;null;
1966-09-29;1;3,1;9,7;25;15,6;76,75;3;null;
1966-09-30;2,5;6,7;0;29,8;12,6;68,25;1,666667;null;
1966-10-01;3,5;10,5;null;33,4;11,7;60,25;0;null;
1966-10-02;4,2;9,8;0;35,4;12,9;61,5;0;null;
1966-10-03;4,3;7,1;1,4;35,6;15,2;62,5;,666667;null;
1966-10-04;4,5;0;0;23,4;18,3;71,75;2;null;
1966-10-05;2,9;2,3;0;26;16,1;70,25;1,333333;null;
1966-10-06;3,6;2,3;0;27,1;16,6;83,25;,666667;null;
1966-10-07;2,3;3,4;12,8;27,2;16;91,75;,666667;null;
1966-10-08;1,3;4,9;33,5;29,6;15,8;90;0;null;
